Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
16,6322,5,2017-05-15,2017-08-16
16,8084,4,2017-05-27,2017-08-16
16,8572,4,2017-05-27,2017-08-16
16,8587,4,2017-05-27,2017-08-16
17,2033,4,2017-06-27,2017-07-20
17,2262,4,2017-06-27,2017-07-20
17,2378,4,2017-06-27,2017-07-20
17,2857,7,2017-06-27,2017-11-21
17,2910,5,2017-07-05,2017-10-09
17,3573,4,2017-06-27,2017-07-20
17,4088,4,2017-07-20,2017-11-21
17,4253,4,2017-06-27,2017-07-20
17,7064,5,2017-07-05,2017-10-09
17,9026,4,2017-06-27,2017-07-20
17,9111,4,2017-06-27,2017-07-20
17,10334,4,2017-06-27,2017-07-20
17,10530,4,2017-06-27,2017-07-20
17,11041,5,2017-07-05,2017-10-09
17,11353,5,2017-07-05,2017-10-09
17,11360,5,2017-07-05,2017-10-09
18,270,4,2017-11-08,2017-11-17
18,378,5,2017-04-07,2017-07-13
18,431,6,2017-03-14,2017-07-13
18,1143,5,2017-11-08,2017-12-02
18,1491,5,2017-11-08,2017-12-02
18,1656,5,2017-11-08,2017-12-02
18,1772,4,2017-11-14,2017-12-20
18,1961,4,2017-04-07,2017-12-02
18,2082,5,2017-11-08,2017-12-02
18,2874,5,2017-03-14,2017-05-12
18,3177,7,2017-04-07,2017-11-17
18,3899,4,2017-11-14,2017-12-20
18,4136,4,2017-11-08,2017-11-17
18,4190,4,2017-04-14,2017-07-13
18,4627,4,2017-04-07,2017-05-12
18,4989,4,2017-11-08,2017-11-17
18,5681,4,2017-11-08,2017-11-17
18,5910,4,2017-05-01,2017-12-02
18,6446,4,2017-04-14,2017-07-13
18,6526,5,2017-11-08,2017-12-02
18,7029,4,2017-04-14,2017-07-13
18,7533,5,2017-11-08,2017-12-02
18,7544,5,2017-04-14,2017-11-17
18,7558,4,2017-04-14,2017-07-13
18,8047,4,2017-04-14,2017-07-13
18,8450,4,2017-04-14,2017-07-13
18,8470,4,2017-04-14,2017-07-13
18,10858,4,2017-07-13,2017-12-02
18,12019,4,2017-11-14,2017-12-20
18,13240,4,2017-11-08,2017-11-17
18,13541,5,2017-11-08,2017-12-02
18,13819,4,2017-10-15,2017-11-14
18,13822,6,2017-10-15,2017-12-02
18,13830,4,2017-10-15,2017-11-14
18,13848,6,2017-10-15,2017-12-02
18,13851,5,2017-10-15,2017-11-17
18,13862,4,2017-10-15,2017-11-14
18,13874,4,2017-10-15,2017-12-20
20,22,4,2017-01-01,2017-02-27
20,47,5,2017-01-01,2017-03-28
20,56,4,2017-01-01,2017-02-27
21,340,4,2017-01-25,2017-09-19
22,47,4,2017-01-01,2017-02-27
22,56,4,2017-01-01,2017-02-27
22,721,6,2017-02-22,2017-04-29
22,1467,4,2017-04-11,2017-04-29
22,1903,4,2017-02-22,2017-04-15
22,1946,4,2017-02-22,2017-04-29
22,2036,5,2017-01-10,2017-04-15
22,2227,5,2017-04-11,2017-05-09
22,2482,5,2017-02-22,2017-10-15
22,2620,4,2017-04-15,2017-05-09
22,3370,4,2017-02-22,2017-04-15
22,3463,4,2017-04-11,2017-04-29
22,3926,6,2017-10-15,2017-11-22
22,4182,5,2017-04-11,2017-05-09
22,4221,5,2017-04-11,2017-05-09
22,4387,4,2017-04-11,2017-04-29
22,4460,4,2017-10-23,2017-11-22
22,4536,4,2017-04-11,2017-04-29
22,4761,4,2017-09-06,2017-10-23
22,4916,5,2017-04-11,2017-05-09
22,5012,5,2017-04-11,2017-05-09
22,5059,4,2017-04-11,2017-04-29
22,5148,4,2017-02-22,2017-04-15
22,5355,5,2017-10-16,2017-11-22
22,5800,4,2017-04-15,2017-05-09
22,5867,5,2017-10-16,2017-11-22
22,5912,4,2017-04-15,2017-05-09
22,6630,4,2017-10-23,2017-11-22
22,6906,4,2017-04-15,2017-10-15
22,6932,4,2017-04-15,2017-05-09
22,6938,4,2017-04-15,2017-05-09
22,6950,4,2017-04-15,2017-05-09
22,7192,5,2017-04-11,2017-05-09
22,7410,4,2017-04-15,2017-05-09
22,7430,4,2017-04-15,2017-05-09
22,7437,4,2017-04-15,2017-05-09
22,7442,5,2017-04-15,2017-09-06
22,7454,4,2017-04-15,2017-09-06
22,7581,4,2017-04-11,2017-04-29
22,8562,5,2017-10-16,2017-11-22
22,8590,4,2017-10-16,2017-11-15
22,8631,4,2017-10-23,2017-11-22
22,12173,5,2017-10-16,2017-11-22
23,92,4,2017-01-01,2017-09-03
23,360,4,2017-08-13,2017-09-03
23,391,6,2017-07-08,2017-09-09
23,953,4,2017-08-19,2017-09-09
23,1030,4,2017-08-13,2017-09-03
23,1031,4,2017-05-22,2017-09-03
23,1067,4,2017-05-22,2017-09-03
23,1337,4,2017-08-13,2017-09-03
23,1573,5,2017-08-13,2017-09-09
23,1955,5,2017-08-13,2017-09-09
23,2185,4,2017-08-19,2017-09-09
23,2310,5,2017-05-22,2017-09-09
23,2351,4,2017-05-22,2017-09-03
23,4444,4,2017-08-19,2017-09-09
23,4707,4,2017-08-19,2017-09-09
23,4978,6,2017-05-22,2017-09-03
23,5002,4,2017-08-19,2017-09-09
23,5231,4,2017-09-09,2017-12-01
23,5775,4,2017-07-08,2017-09-09
23,6050,5,2017-07-08,2017-09-03
23,6084,4,2017-08-19,2017-09-09
23,6136,4,2017-08-13,2017-09-03
23,6456,4,2017-07-08,2017-08-30
23,7068,5,2017-08-13,2017-09-09
23,7951,6,2017-07-08,2017-09-09
23,8024,4,2017-08-19,2017-09-09
23,8427,4,2017-08-13,2017-09-03
23,9063,4,2017-05-22,2017-09-03
23,9324,4,2017-08-13,2017-09-03
23,9465,4,2017-07-08,2017-08-30
23,9906,5,2017-08-13,2017-09-09
23,9954,6,2017-07-08,2017-09-09
23,9988,6,2017-07-08,2017-09-09
23,9992,5,2017-07-08,2017-09-03
23,10179,5,2017-08-13,2017-09-09
23,10465,4,2017-08-19,2017-09-09
23,10975,4,2017-08-19,2017-09-09
23,11243,6,2017-07-08,2017-09-09
23,11284,5,2017-07-08,2017-09-03
23,11450,5,2017-08-13,2017-09-09
23,11633,5,2017-08-13,2017-09-09
23,11649,5,2017-08-13,2017-09-09
23,11680,4,2017-08-13,2017-09-03
23,11687,5,2017-08-13,2017-09-09
23,11690,4,2017-08-13,2017-09-03
23,11784,6,2017-08-13,2017-11-21
27,32,4,2017-01-01,2017-11-21
28,53,4,2017-01-01,2017-02-13
28,95,4,2017-01-01,2017-02-13
28,172,4,2017-01-10,2017-03-21
28,2001,4,2017-01-10,2017-03-21
28,2262,4,2017-02-13,2017-04-13
28,2303,5,2017-01-10,2017-04-05
28,2378,4,2017-01-10,2017-03-21
28,2438,4,2017-01-29,2017-04-05
28,2484,5,2017-01-29,2017-04-13
28,2496,5,2017-01-29,2017-04-13
28,3516,4,2017-02-13,2017-04-13
33,1511,4,2017-07-20,2017-09-09
33,3486,6,2017-07-20,2017-09-19
33,5073,4,2017-09-05,2017-09-19
33,7043,4,2017-08-15,2017-09-15
33,12050,4,2017-08-15,2017-09-15
33,12051,5,2017-08-15,2017-09-19
33,12113,4,2017-08-15,2017-09-15
37,38,4,2017-01-01,2017-12-22
37,76,4,2017-01-01,2017-12-22
38,76,4,2017-01-01,2017-12-22
40,84,4,2017-01-01,2017-06-20
40,186,5,2017-05-19,2017-07-15
40,2063,5,2017-05-19,2017-07-15
40,2505,4,2017-05-19,2017-07-05
40,4449,4,2017-07-05,2017-08-19
40,7319,4,2017-05-19,2017-07-05
40,7718,4,2017-06-17,2017-07-15
40,7789,5,2017-05-19,2017-07-15
40,8745,5,2017-05-19,2017-07-15
40,11420,4,2017-07-05,2017-08-19
40,11432,4,2017-07-05,2017-08-19
40,11450,4,2017-07-05,2017-08-19
42,132,4,2017-11-26,2017-12-18
42,183,5,2017-11-20,2017-12-02
42,356,5,2017-11-20,2017-12-02
42,712,5,2017-11-20,2017-12-02
42,1591,6,2017-11-20,2017-12-18
42,1769,4,2017-11-20,2017-11-27
42,2069,4,2017-11-20,2017-11-27
42,2092,4,2017-11-26,2017-12-18
42,2106,4,2017-11-20,2017-11-27
42,2112,4,2017-11-20,2017-11-27
42,2350,4,2017-11-26,2017-12-18
42,2548,5,2017-11-20,2017-12-02
42,2588,5,2017-11-20,2017-12-02
42,2807,4,2017-11-26,2017-12-18
42,2964,4,2017-11-20,2017-11-27
42,2994,4,2017-11-20,2017-11-27
42,3319,4,2017-11-20,2017-11-27
42,3897,4,2017-11-20,2017-11-27
42,4685,7,2017-11-20,2017-12-25
42,4770,4,2017-11-20,2017-11-27
42,4957,4,2017-11-20,2017-11-27
42,4973,5,2017-11-26,2017-12-25
42,5007,4,2017-11-20,2017-11-27
42,5101,7,2017-11-20,2017-12-25
42,5111,7,2017-11-20,2017-12-25
42,5201,4,2017-11-21,2017-12-02
42,5212,5,2017-11-20,2017-12-02
42,5634,6,2017-11-21,2017-12-25
42,5754,4,2017-11-20,2017-11-27
42,6067,4,2017-11-20,2017-11-27
42,6085,4,2017-11-26,2017-12-18
42,6293,4,2017-11-20,2017-11-27
42,6323,4,2017-11-20,2017-11-27
42,6591,4,2017-11-20,2017-11-27
42,6733,6,2017-11-21,2017-12-25
42,6857,4,2017-11-20,2017-11-27
42,7060,4,2017-11-20,2017-11-27
42,7099,5,2017-11-20,2017-12-02
42,7114,5,2017-11-20,2017-12-02
42,7194,5,2017-11-20,2017-12-02
42,7555,4,2017-11-20,2017-11-27
42,7661,7,2017-11-20,2017-12-25
42,7721,5,2017-11-20,2017-12-02
42,8057,5,2017-11-20,2017-12-02
42,8446,4,2017-11-21,2017-12-02
42,8552,4,2017-11-21,2017-12-02
42,8556,5,2017-11-21,2017-12-18
42,8810,4,2017-11-20,2017-11-27
42,9101,5,2017-11-21,2017-12-18
42,9540,5,2017-11-20,2017-12-02
42,9974,4,2017-11-20,2017-11-27
42,9994,5,2017-11-20,2017-12-02
42,10067,5,2017-11-20,2017-12-02
42,10205,6,2017-11-20,2017-12-18
42,10244,5,2017-11-21,2017-12-18
42,10938,4,2017-11-21,2017-12-02
42,11211,4,2017-11-20,2017-11-27
42,11572,4,2017-11-21,2017-12-02
42,11587,4,2017-11-20,2017-11-27
42,12323,5,2017-11-20,2017-12-02
42,13163,5,2017-11-21,2017-12-18
42,13218,4,2017-11-20,2017-11-27
42,13221,5,2017-11-20,2017-12-02
42,13249,7,2017-11-20,2017-12-25
42,13284,4,2017-11-20,2017-11-27
42,13296,7,2017-11-20,2017-12-25
42,13561,4,2017-11-20,2017-11-27
42,13564,5,2017-11-20,2017-12-02
42,13571,5,2017-11-20,2017-12-02
43,99,4,2017-01-01,2017-03-15
43,878,4,2017-02-23,2017-05-11
43,1536,5,2017-04-06,2017-05-15
43,2453,4,2017-02-23,2017-04-21
43,2636,4,2017-04-06,2017-05-15
43,3565,4,2017-04-06,2017-05-11
43,4803,4,2017-04-06,2017-05-11
43,5674,4,2017-04-06,2017-05-15
45,58,4,2017-01-01,2017-02-15
45,64,5,2017-01-01,2017-03-23
45,86,4,2017-01-01,2017-02-15
45,98,4,2017-01-01,2017-08-25
45,199,6,2017-01-22,2017-08-25
45,351,5,2017-02-02,2017-08-25
45,611,4,2017-08-24,2017-09-23
45,993,4,2017-08-24,2017-09-23
45,1273,4,2017-01-22,2017-03-23
45,1327,6,2017-02-15,2017-09-23
45,1470,6,2017-02-02,2017-09-23
45,1911,4,2017-08-24,2017-09-23
45,2886,4,2017-01-22,2017-03-23
45,2941,4,2017-08-24,2017-09-23
45,2949,4,2017-08-24,2017-09-23
45,3087,4,2017-01-22,2017-03-23
45,3093,4,2017-01-22,2017-03-23
45,3665,4,2017-08-24,2017-09-23
45,3977,4,2017-08-24,2017-09-23
45,4016,4,2017-08-24,2017-09-23
45,4272,4,2017-08-24,2017-09-23
45,4872,4,2017-08-24,2017-09-23
45,4927,4,2017-08-24,2017-09-23
45,5046,4,2017-08-24,2017-09-23
45,5939,4,2017-03-23,2017-09-09
45,5955,5,2017-03-23,2017-09-23
45,6066,4,2017-08-24,2017-09-23
45,8901,4,2017-08-24,2017-09-23
45,9544,4,2017-08-24,2017-09-23
45,10315,4,2017-08-24,2017-09-23
45,10365,4,2017-08-24,2017-09-23
45,10512,4,2017-08-24,2017-09-23
45,10720,4,2017-08-24,2017-09-23
45,10741,4,2017-08-24,2017-09-23
45,10780,4,2017-08-24,2017-09-23
45,10847,4,2017-08-24,2017-09-23
45,11483,4,2017-08-24,2017-09-23
45,11807,4,2017-08-24,2017-09-23
46,3092,4,2017-10-29,2017-11-24
46,6011,4,2017-11-03,2017-12-25
46,6364,4,2017-10-29,2017-11-24
46,9800,4,2017-11-03,2017-12-25
46,11627,4,2017-11-03,2017-12-25
47,56,4,2017-01-01,2017-02-27
47,335,5,2017-07-16,2017-09-20
47,628,5,2017-06-03,2017-08-20
47,1528,5,2017-07-16,2017-09-20
47,1617,4,2017-07-16,2017-08-20
47,2062,5,2017-01-10,2017-08-20
47,2458,4,2017-07-16,2017-08-20
47,3659,4,2017-02-22,2017-06-03
47,3963,4,2017-07-30,2017-09-20
47,4675,4,2017-07-16,2017-08-20
47,4713,4,2017-07-16,2017-08-20
47,4737,4,2017-07-16,2017-08-20
47,4816,4,2017-07-16,2017-08-20
47,5116,4,2017-07-16,2017-08-20
47,5162,6,2017-07-16,2017-10-04
47,5653,4,2017-07-16,2017-08-20
47,5943,5,2017-06-03,2017-08-20
47,6111,4,2017-07-16,2017-08-20
47,6114,5,2017-06-03,2017-08-20
47,6286,4,2017-07-16,2017-08-20
47,6317,4,2017-07-16,2017-08-20
47,7191,4,2017-07-16,2017-08-20
47,7271,6,2017-07-16,2017-10-04
47,7510,5,2017-07-16,2017-09-20
47,7772,4,2017-07-16,2017-08-20
47,7902,4,2017-07-16,2017-08-20
47,7910,5,2017-07-16,2017-09-20
47,7950,4,2017-07-16,2017-08-20
47,7983,4,2017-07-16,2017-08-20
47,8368,4,2017-07-16,2017-08-20
47,8653,4,2017-07-16,2017-08-20
47,9389,4,2017-07-30,2017-09-20
47,9421,4,2017-07-16,2017-08-20
47,9495,4,2017-07-30,2017-09-20
47,9725,5,2017-07-30,2017-10-04
47,9955,4,2017-07-30,2017-09-20
47,10460,4,2017-07-16,2017-08-20
47,11067,5,2017-07-16,2017-09-20
47,11221,4,2017-07-30,2017-09-20
49,68,4,2017-01-01,2017-11-24
49,69,4,2017-01-01,2017-11-24
49,78,4,2017-01-01,2017-11-24
49,738,4,2017-11-21,2017-12-09
49,904,4,2017-11-21,2017-12-09
49,938,4,2017-11-21,2017-12-09
49,1688,4,2017-11-21,2017-12-09
49,2041,4,2017-11-21,2017-12-09
49,2099,4,2017-11-21,2017-12-09
49,2426,4,2017-11-21,2017-12-09
49,2684,4,2017-11-21,2017-12-09
49,2868,4,2017-11-21,2017-12-09
49,2922,4,2017-11-21,2017-12-09
49,2927,4,2017-11-21,2017-12-09
49,4687,4,2017-11-21,2017-12-09
49,5693,4,2017-11-21,2017-12-09
49,6575,4,2017-11-21,2017-12-09
49,7530,4,2017-11-21,2017-12-09
49,7624,4,2017-11-21,2017-12-09
49,8178,4,2017-11-21,2017-12-09
49,9992,4,2017-11-21,2017-12-09
49,10165,4,2017-11-21,2017-12-09
49,11699,4,2017-11-21,2017-12-09
49,12146,4,2017-11-21,2017-12-09
49,12311,4,2017-11-21,2017-12-09
50,61,4,2017-01-01,2017-03-05
50,66,4,2017-01-01,2017-03-05
50,72,4,2017-01-01,2017-03-05
50,93,4,2017-01-01,2017-03-05
50,101,4,2017-01-10,2017-11-29
50,3621,4,2017-02-06,2017-12-12
50,3638,4,2017-02-06,2017-12-12
52,6074,4,2017-09-09,2017-10-16
52,6496,5,2017-09-09,2017-11-28
52,11814,4,2017-09-09,2017-10-16
53,95,4,2017-01-01,2017-02-13
53,652,4,2017-03-27,2017-04-23
53,844,4,2017-03-27,2017-04-23
53,848,4,2017-05-26,2017-06-04
53,1190,4,2017-05-26,2017-06-04
53,1223,5,2017-05-26,2017-06-14
53,1963,4,2017-03-27,2017-04-23
53,1994,6,2017-03-27,2017-05-29
53,2038,4,2017-01-10,2017-03-27
53,2062,9,2017-01-10,2017-05-29
53,2072,6,2017-01-10,2017-04-10
53,2075,7,2017-01-10,2017-04-23
53,2182,4,2017-03-27,2017-04-23
53,2260,5,2017-02-13,2017-04-23
53,2264,4,2017-02-13,2017-04-10
53,2268,4,2017-02-13,2017-04-10
53,2281,4,2017-02-13,2017-04-10
53,2288,6,2017-02-13,2017-05-26
53,2306,4,2017-01-10,2017-03-27
53,2328,6,2017-01-10,2017-04-10
53,2404,5,2017-01-29,2017-04-10
53,2406,5,2017-01-29,2017-04-10
53,2429,5,2017-01-29,2017-04-10
53,2441,4,2017-01-29,2017-06-14
53,2755,4,2017-05-26,2017-06-04
53,3148,4,2017-03-27,2017-04-23
53,3226,4,2017-03-27,2017-04-23
53,3517,4,2017-02-13,2017-04-10
53,3523,4,2017-02-13,2017-04-10
53,3525,4,2017-02-13,2017-04-10
53,3535,4,2017-02-13,2017-04-10
53,3539,4,2017-02-13,2017-04-10
53,3568,4,2017-02-13,2017-04-10
53,3585,4,2017-02-13,2017-04-10
53,3611,4,2017-01-29,2017-06-14
53,3655,5,2017-01-29,2017-04-10
53,3661,5,2017-01-29,2017-04-10
53,3663,4,2017-01-29,2017-06-14
53,3668,6,2017-01-29,2017-04-23
53,3682,5,2017-01-29,2017-04-10
53,3925,4,2017-05-26,2017-06-04
53,4000,5,2017-04-23,2017-06-04
53,4217,4,2017-03-27,2017-04-23
53,4223,4,2017-03-27,2017-04-23
53,4248,4,2017-03-27,2017-04-23
53,4314,4,2017-03-27,2017-04-23
53,5048,5,2017-03-27,2017-05-26
53,5076,4,2017-03-27,2017-04-23
53,5092,4,2017-03-27,2017-04-23
53,5303,4,2017-05-29,2017-06-14
53,5310,6,2017-03-27,2017-05-29
53,5370,4,2017-03-27,2017-04-23
53,5865,4,2017-03-27,2017-05-29
53,5885,6,2017-03-27,2017-05-29
53,6694,5,2017-05-26,2017-06-14
53,6730,5,2017-04-23,2017-06-04
53,6769,5,2017-04-23,2017-06-04
53,6831,4,2017-05-26,2017-06-04
53,7403,4,2017-05-26,2017-06-04
53,7696,4,2017-05-26,2017-06-04
53,8078,4,2017-05-29,2017-06-14
53,8566,4,2017-05-29,2017-06-14
53,8846,4,2017-05-29,2017-06-14
53,9340,4,2017-05-29,2017-06-14
53,9363,4,2017-05-29,2017-06-14
53,10115,4,2017-05-26,2017-06-04
53,10145,5,2017-05-26,2017-06-14
56,118,4,2017-01-10,2017-03-06
56,169,5,2017-01-10,2017-03-17
56,774,4,2017-02-22,2017-03-17
56,1043,4,2017-02-22,2017-03-17
56,1971,4,2017-02-22,2017-03-17
56,1976,4,2017-02-22,2017-03-17
56,1984,4,2017-02-22,2017-03-17
56,2021,5,2017-01-10,2017-03-17
56,2043,4,2017-01-10,2017-03-06
56,2051,4,2017-01-10,2017-03-06
56,2074,5,2017-01-10,2017-03-17
56,2093,4,2017-01-10,2017-03-06
56,2435,4,2017-02-22,2017-03-17
56,2477,4,2017-02-22,2017-03-17
56,3205,4,2017-02-22,2017-03-17
56,3343,4,2017-02-22,2017-03-17
56,4091,4,2017-02-22,2017-03-17
56,4319,4,2017-02-22,2017-03-17
56,5122,4,2017-02-22,2017-03-17
56,5145,4,2017-02-22,2017-03-17
56,5156,4,2017-02-22,2017-03-17
57,67,4,2017-01-01,2017-07-13
57,73,4,2017-01-01,2017-07-13
57,159,4,2017-05-15,2017-08-21
57,3465,5,2017-05-15,2017-08-26
57,4901,4,2017-05-15,2017-08-21
57,6396,4,2017-05-15,2017-08-21
57,9985,4,2017-05-19,2017-08-26
58,64,5,2017-01-01,2017-03-10
58,86,4,2017-01-01,2017-02-15
58,167,4,2017-01-22,2017-03-10
58,435,6,2017-01-22,2017-03-30
58,989,4,2017-02-15,2017-03-30
58,1034,4,2017-02-02,2017-03-18
58,1250,4,2017-01-22,2017-03-10
58,1320,4,2017-02-15,2017-04-09
58,1328,5,2017-02-15,2017-04-09
58,1381,7,2017-02-15,2017-04-28
58,1396,4,2017-02-15,2017-03-30
58,1608,4,2017-02-02,2017-03-18
58,1616,4,2017-02-02,2017-03-18
58,1900,4,2017-02-02,2017-03-30
58,2400,6,2017-01-22,2017-03-30
58,2725,4,2017-02-02,2017-03-30
58,2760,4,2017-02-02,2017-03-18
58,2780,4,2017-02-02,2017-03-18
58,2786,5,2017-02-02,2017-03-30
58,2869,5,2017-01-22,2017-03-18
58,2942,4,2017-02-15,2017-03-30
58,2943,5,2017-02-15,2017-04-13
58,3015,5,2017-01-22,2017-03-18
58,3041,7,2017-01-22,2017-04-09
58,3087,4,2017-01-22,2017-03-10
58,5372,4,2017-03-30,2017-04-28
58,5705,5,2017-03-10,2017-04-13
58,5719,5,2017-03-18,2017-04-28
58,5733,6,2017-03-10,2017-04-28
58,5764,4,2017-03-10,2017-04-09
58,5992,4,2017-03-18,2017-04-13
59,242,4,2017-03-07,2017-09-19
61,66,4,2017-01-01,2017-03-05
61,72,4,2017-01-01,2017-03-05
61,93,4,2017-01-01,2017-03-05
61,148,7,2017-05-19,2017-08-06
61,174,6,2017-05-19,2017-07-11
61,182,4,2017-05-19,2017-06-24
61,186,4,2017-01-10,2017-05-19
61,191,6,2017-01-10,2017-07-11
61,382,5,2017-06-15,2017-07-11
61,392,5,2017-06-15,2017-07-11
61,484,6,2017-05-19,2017-07-11
61,497,6,2017-05-19,2017-07-11
61,1434,4,2017-05-19,2017-06-24
61,1637,6,2017-05-19,2017-07-11
61,1715,5,2017-06-15,2017-07-11
61,1822,5,2017-06-15,2017-07-11
61,1849,5,2017-06-15,2017-07-11
61,2012,6,2017-05-19,2017-07-11
61,2024,6,2017-05-19,2017-07-11
61,2090,7,2017-05-19,2017-08-06
61,2231,6,2017-06-15,2017-12-31
61,2336,5,2017-06-15,2017-07-11
61,2345,9,2017-01-10,2017-07-11
61,2354,6,2017-05-19,2017-07-11
61,2415,5,2017-02-06,2017-06-20
61,2426,4,2017-02-06,2017-11-23
61,2480,4,2017-02-06,2017-11-23
61,2821,4,2017-05-19,2017-12-31
61,2841,6,2017-05-19,2017-07-11
61,2945,6,2017-05-19,2017-07-11
61,3002,6,2017-05-19,2017-07-11
61,3028,6,2017-05-19,2017-07-11
61,3064,6,2017-05-19,2017-07-11
61,3187,6,2017-05-19,2017-07-11
61,3618,5,2017-06-15,2017-07-11
61,3640,5,2017-02-06,2017-06-20
61,3669,4,2017-02-06,2017-11-23
61,4034,5,2017-06-15,2017-07-11
61,4202,5,2017-06-15,2017-07-11
61,4451,5,2017-06-15,2017-07-11
61,4687,4,2017-08-14,2017-11-23
61,4774,6,2017-05-19,2017-07-11
61,4820,5,2017-06-15,2017-07-11
61,5330,5,2017-06-15,2017-07-11
61,5503,5,2017-06-15,2017-07-11
61,5522,5,2017-06-15,2017-07-11
61,6560,6,2017-05-19,2017-07-11
61,6575,5,2017-08-06,2017-11-23
61,6729,5,2017-06-15,2017-07-11
61,7209,5,2017-06-15,2017-07-11
61,7560,5,2017-06-15,2017-07-11
61,7898,5,2017-06-15,2017-07-11
61,8260,6,2017-05-19,2017-07-11
61,8262,6,2017-05-19,2017-07-11
61,8729,6,2017-05-19,2017-07-11
61,8793,4,2017-05-19,2017-06-24
61,9066,5,2017-06-15,2017-07-11
61,9645,5,2017-06-15,2017-07-11
61,9699,5,2017-06-15,2017-07-11
61,9700,5,2017-06-15,2017-07-11
61,10713,5,2017-06-24,2017-11-23
61,10728,6,2017-06-24,2017-08-19
64,86,4,2017-01-01,2017-02-15
64,167,6,2017-01-22,2017-04-15
64,184,4,2017-01-22,2017-03-24
64,199,4,2017-01-22,2017-03-23
64,435,4,2017-01-22,2017-03-10
64,477,4,2017-02-02,2017-03-24
64,1208,5,2017-02-02,2017-04-15
64,1250,5,2017-01-22,2017-03-24
64,1273,4,2017-01-22,2017-03-23
64,1302,5,2017-02-15,2017-04-24
64,1311,4,2017-02-15,2017-04-15
64,1429,6,2017-02-02,2017-08-30
64,1636,4,2017-02-02,2017-03-23
64,1866,4,2017-02-02,2017-03-23
64,2400,4,2017-01-22,2017-03-10
64,2734,4,2017-02-02,2017-03-24
64,2786,4,2017-02-02,2017-04-24
64,2790,4,2017-02-02,2017-08-30
64,2869,4,2017-01-22,2017-03-10
64,2886,5,2017-01-22,2017-03-24
64,2937,4,2017-02-15,2017-05-27
64,3015,4,2017-01-22,2017-03-10
64,3041,4,2017-01-22,2017-03-10
64,3087,6,2017-01-22,2017-03-24
64,3093,6,2017-01-22,2017-04-15
64,3120,5,2017-02-02,2017-03-24
64,4053,4,2017-04-15,2017-05-27
64,5768,4,2017-03-10,2017-04-15
64,5796,4,2017-03-23,2017-04-24
64,5799,5,2017-03-10,2017-04-24
64,6308,4,2017-07-31,2017-08-30
64,6701,4,2017-06-20,2017-08-15
64,8821,4,2017-07-31,2017-08-30
64,9235,4,2017-05-11,2017-07-31
64,9278,4,2017-05-11,2017-08-30
64,9288,4,2017-05-11,2017-07-31
64,9601,4,2017-07-31,2017-08-30
64,12275,4,2017-08-30,2017-12-18
66,72,4,2017-01-01,2017-03-05
66,93,4,2017-01-01,2017-03-05
67,73,5,2017-01-01,2017-07-13
67,6396,4,2017-05-13,2017-07-13
67,8788,4,2017-05-13,2017-07-13
